time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2019-02-16 02:46:11.028 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,11, , , , , , , , , ,3,3, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,401737687040,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1550285170685,,, , , , , , , , , ,3145728,1377,2,2,0,2, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,2,125,9,126,146967416,4, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-02-16 02:47:11.051 UTC, , , , , , , , , ,1029,3391037,243832,448, ,20, ,4321, , , , , , , , , ,20,7, , , ,7,10,5, ,277, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,401737687040,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1550285170685,,, , , , , , , , , ,3145728,343260,1,2,0,3, , , ,1643,1643,2,1643, ,3,1646, , , , , , , , , , ,4096,2,341863,1643, , , , , , , , ,322799416,3, , , , , , ,3102, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,158, ,1485, ,206,975,1714,94, , , , , , , , , 
2019-02-16 02:48:11.086 UTC, , , , , , , , , ,1909,3577245,429160,448, ,32, ,3797, , , , , , , , , ,32,7, , , ,11,18,5, ,172, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,401737687040,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1550285170685,,, , , , , , , , , ,3145728,672261,1,2,0,2, , , ,1462,1462, ,1462, ,3,1465, , , , , , , , , , , , ,329001,1462, , , , , , ,1,40,98526696,2, , , , , , ,2452, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,108, ,1314, ,102,719,1630,89, , , , , , , , , 
2019-02-16 02:49:11.105 UTC, , , , , , , , , ,2349,3978613,830088,448, ,62, ,7590, , , , , , , , , ,62,7, , , ,23,36,5, ,175, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,401737687040,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1550285170685,,, , , , , , , , , ,3145728,1345124,1,2,0,2, , , ,3197,3197, ,3197, ,3,3200, , , , , , , , , , , , ,672863,3197, , , , , , , , ,241508992,2, , , , , , ,4301, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,110, ,3036, ,102,830,3566,100, , , , , , , , , 
2019-02-16 04:14:06.410 UTC, , , , , , , , , ,125,3559445,413592, , ,68, ,14853,66,0.00, , , , , , , ,68,7, ,7330, ,29,66,6, ,7503,14, , , , , , , , , , , , , ,1650086,2,1508729,1508729,1,19,25,32,1650141,402784817152,41,41,41,41, , , , , ,185,7564, , , , , , , , , , , , , , , , , , , , , , , , , ,1650141,1550290445739,,, , , , , , , , , ,3145728,1650086,2,2,1,2, , ,84,1,1,4,1, ,3,2, ,84, ,84139,17,153498,2, ,36, ,15593479,1981, , , , , , ,2,122,9,119,193079376,2, , , , , , ,7505, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-02-16 04:15:06.432 UTC, , , , , , , , , ,1469,3816645,669000,448, ,82, ,3882, , , , , , , , , ,82,7, , , ,34,69,6, ,326,105, , , , , , , , , , , , , ,1650086,2,1508729,1508729, , , , ,1650141,402784817152,41,41,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1650141,1550290445739,,, , , , , , , , , ,3145728,2102300,1,2,0,5, , ,105,1781,1781,3,1781, ,3,1784, ,105,1,4652,5,3987,3, , , ,22128,103,448202,1778, , , , , , ,1,39,105411576,3, , , , , , ,2681, , , ,1, ,7, , , , , , , , , , , , , , , , , , , , , , ,180, ,1629, ,248,288,1787,90, , , , , , , , , 
2019-02-16 04:16:06.456 UTC, , , , , , , , , ,1909,3986813,838728,448, ,93, ,3556, , , , , , , , , ,93,7, , , ,39,75,6, ,191,50, , , , , , , , , , , , , ,1650086,2,1508729,1508729, , , , ,1650141,402784817152,41,41,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1650141,1550290445739,,, , , , , , , , , ,3145728,2412824,1,2,0,4, , ,50,1511,1511, ,1511, ,3,1514, ,50,1,190,1,1866,1, , , ,9783,49,308658,1510, , , , , , , , ,177806952,2, , , , , , ,2364, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,126, ,1328, ,102,563,1520,106, , , , , , , , , 
2019-02-16 04:56:06.626 UTC, , , , , , , , , ,2789,4435925,1286960,448, ,121, ,7550, , , , , , , , , ,121,7, , , ,49,92,6, ,171,50, , , , , , , , , , , , , ,1650086,2,1508729,1508729, , , , ,3079812,402809663488,40,40,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3079812,1550290445739,,, , , , , , , , , ,3145728,3198479,1,2,0,11, , ,50,3099,3099, ,3099, ,3,3104, ,50,1,97,1,1865,1, , , ,7953,49,783790,3098, , , , , , , , ,396232208,4, , , , , , ,4184, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,102, ,2958, ,102,815,3618,88, , , , , , , , , 
2019-02-16 04:57:51.635 UTC, , , , , , , , , ,3229,4625341,1475936,448, ,132, ,3220, , , , , , , , , ,132,7, , , ,54,98,6, ,147,50, , , , , , , , , , , , , ,1650086,2,1508729,1508729, , , , ,3531376,402806444032,40,40,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3531376,1550290445739,,, , , , , , , , , ,3145728,3531802,1,2,0,2, , ,50,1325,1325, ,1325, ,3,1329, ,50,1,431,1,1857,1, , , ,7053,49,331466,1324, , , , , , ,1,43,136553672,2, , , , , , ,1964, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,85, ,1232, ,102,393,1505,57, , , , , , , , , 
2019-02-16 04:59:36.649 UTC, , , , , , , , , ,3669,4955917,1806072,448, ,152, ,5450, , , , , , , , , ,152,7, , , ,61,110,6, ,151,50, , , , , , , , , , , , , ,1650086,2,1508729,1508729, , , , ,4094136,402806231040,40,40,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4094136,1550290445739,,, , , , , , , , , ,3145728,4107781,1,2,0,2, , ,50,2263,2263, ,2263, ,3,2267, ,50,1,109,1,1861,1, , , ,7348,49,574118,2262, , , , , , , , ,266180712,2, , , , , , ,3038, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,86, ,2168, ,102,525,2645,58, , , , , , , , , 
